batch_id,manufacturer,PROPRIETARYNAME,price,region,complaints,price_deviation,manufacturer_reliability,is_rural
0002-0152-01,Eli Lilly and Company,Zepbound,33.77,Urban1,Result many pattern leader career according how success here.,0.4498285864677259,0.7304625752488592,0
0002-0152-04,Eli Lilly and Company,Zepbound,6.13,Rural1,Key issue statement prepare organization feel owner receive look concern.,-1.6802799308869432,0.714325636775917,1
0002-0152-61,Eli Lilly and Company,Zepbound,17.38,Rural2,Why fact reason make office drug heavy staff hotel box nor.,-0.8132856899231218,0.8864953650254366,1
0002-0213-01,Eli Lilly and Company,Humulin,15.04,Urban1,Young conference should agree road wall decide something story attorney summer some pull.,-0.9936204920435967,0.8357316363906033,0
0002-0243-01,Eli Lilly and Company,Zepbound,38.14,Urban1,Plan drug probably resource smile available wrong.,0.7866076827354501,0.7479918707489409,0
0002-0243-04,Eli Lilly and Company,Zepbound,35.45,Urban1,Old move type thank industry already why reduce speech order trial body.,0.5792997264516565,0.5240436091364522,0
0002-0800-01,Eli Lilly and Company,Sterile Diluent,45.15,Urban1,Price great positive and worker quality hundred sell whole.,1.3268414275493512,0.7223954081527857,0
0002-1152-01,Eli Lilly and Company,MOUNJARO,8.91,Rural1,Black better develop section newspaper reach determine hear leg quickly real.,-1.4660360206754388,0.8842964763036436,1
0002-1200-48,Eli Lilly and Company,Amyvid,23.99,Rural2,General agency bit indeed which break wait.,-0.30387840701015656,0.9420661132695844,1
0002-1200-50,Eli Lilly and Company,Amyvid,6.34,Rural2,Give gas six miss give best reveal.,-1.6640960383889518,0.5721370616903434,1
0002-1214-01,Eli Lilly and Company,Zepbound,14.84,Urban2,Five feel special boy support possible quality clearly worker during company.,-1.0090337229940645,0.5398872318161403,0
0002-1214-04,Eli Lilly and Company,Zepbound,27.74,Rural1,Former interview left something picture control price how.,-0.014880326688882754,0.5842307929980375,1
0002-1220-48,Eli Lilly and Company,TAUVID,6.19,Rural2,Third last involve above Democrat everything region somebody officer son Mr hand culture.,-1.6756559616018027,0.7772116639732306,1
0002-1220-50,Eli Lilly and Company,TAUVID,13.95,Rural1,Energy television month police others particularly only.,-1.077622600723647,0.6376239777895356,1
0002-1243-01,Eli Lilly and Company,MOUNJARO,34.24,Rural1,Goal leader common purpose song try opportunity public finish draw.,0.48604967920132547,0.9474775275361484,1
0002-1340-01,Eli Lilly and Company,Zepbound,29.52,Rural2,Consumer really memory industry case himself control.,0.12229742877028196,0.8909976986874152,1
0002-1340-04,Eli Lilly and Company,Zepbound,14.92,Urban2,Really population yourself never majority cell fire late approach grow act carry.,-1.0028684306138773,0.9329194720658192,0
0002-1423-01,Eli Lilly and Company,Zepbound,31.52,Urban2,White measure manager range indeed style major bar air set.,0.2764297382749613,0.7510745753149374,0
0002-1433-61,Eli Lilly and Company,Trulicity,41.42,Urban2,Allow different eye sit not significant manager member of.,1.0393846703231244,0.8031264801869793,0
0002-1433-80,Eli Lilly and Company,Trulicity,5.29,Urban1,Simple statement happen state among rest national wrong bill.,-1.7450155008789086,0.9001855055010843,0
0002-1434-61,Eli Lilly and Company,Trulicity,41.26,Rural2,Fear yourself last give stage keep yes simply down.,1.0270540855627497,0.8555544535124249,1
0002-1434-80,Eli Lilly and Company,Trulicity,36.42,Urban1,Ready technology particular into pattern size spend south now mother others collection without.,0.654053896561426,0.8563482206897011,0
0002-1436-11,Eli Lilly and Company,EMGALITY,20.31,Urban1,Eye environment teach world quickly believe while size try.,-0.5874818564987666,0.8260861788882812,0
0002-1436-61,Eli Lilly and Company,EMGALITY,12.0,Urban1,Term camera tend economic represent stock seven put majority.,-1.2279016024907092,0.7787927761628233,0
0002-1445-09,Eli Lilly and Company,TALTZ,48.07,Rural1,Plan physical heart away some shoulder idea seek reason theory lawyer maintain old.,1.551874599426183,0.8601230091936881,1
0002-1445-11,Eli Lilly and Company,TALTZ,20.15,Rural1,Room learn professional group as move design.,-0.5998124412591409,0.9252406416945449,1
